Rk,Name,Age,Tm,IP,G,GS,Wgs,Lgs,ND,Wchp,Ltuf,Wtm,Ltm,tmW-L%,Wlst,Lsv,CG,SHO,QS,QS%,GmScA,Best,Wrst,BQR,BQS,sDR,lDR,RS/GS,RS/IP,IP/GS,Pit/GS,<80,80-99,100-119,≥120,Max,Name-additional
109,Luke Farrell,31,CHC,11,4,2,0,0,2,0,0,2,0,1,0,0,0,0,0,0%,48,50,46,0,0,1,1,7.4,10.3,3.2,51,2,0,0,0,71,farrelu01
110,Erick Fedde,29,WSN,127,27,27,6,13,8,2,0,12,15,0.444,1,4,0,0,5,19%,43.7,71,2,23,8,0,16,4.4,4,4.7,90,5,16,6,0,111,feddeer01
111,Ryan Feltner,25,COL,97.1,20,19,4,9,6,2,0,6,13,0.316,4,2,0,0,4,21%,45.4,70,23,14,4,1,11,4.9,4.5,4.9,85,6,13,0,0,96,feltnry01
112,Caleb Ferguson*,25,LAD,34.2,37,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0%,56,56,56,12,1,1,0,10.1,0,1,11,1,0,0,0,11,ferguca01
113,J.P. Feyereisen,29,TBR,24.1,22,2,0,0,2,0,0,2,0,1,0,0,0,0,0,0%,58.5,59,58,1,0,1,1,5.8,9,2,26,2,0,0,0,28,feyerjo01
114,Jack Flaherty,26,STL,36,9,8,2,1,5,0,0,5,3,0.625,0,4,0,0,2,25%,48.6,64,38,0,0,0,6,4.4,2.3,4.4,80,3,5,0,0,99,flaheja01
115,Josh Fleming*,26,TBR,35,10,3,0,3,0,0,0,0,3,0,0,0,0,0,0,0%,32.7,36,27,9,2,0,1,3,2.5,3.9,79,2,1,0,0,93,flemijo01
116,Chris Flexen,27,SEA,137.2,33,22,7,9,6,1,3,11,11,0.5,2,2,0,0,9,41%,50.1,71,25,15,7,1,12,3.7,4.1,5.5,89,5,12,5,0,108,flexech01
117,Kyle Freeland*,29,COL,174.2,31,31,9,11,11,2,1,14,17,0.452,4,5,0,0,13,42%,48.1,75,10,25,6,0,20,4.8,4.6,5.6,91,4,20,7,0,113,freelky01
118,Max Fried*,28,ATL,185.1,30,30,14,7,9,3,2,20,10,0.667,6,2,0,0,21,70%,59.9,81,37,11,5,0,19,4.2,3.6,6.2,94,3,18,9,0,110,friedma01
119,Hunter Gaddis,24,CLE,7.1,2,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0%,17,20,14,3,1,0,2,2.5,2.3,3.7,86,1,1,0,0,92,gaddihu01
120,Zac Gallen,26,ARI,184,31,31,12,4,15,3,1,19,12,0.613,6,2,0,0,19,61%,61.5,87,22,11,4,0,17,4.9,4.1,5.9,95,3,19,9,0,115,galleza01
121,Bryan Garcia,27,DET,20.1,4,4,2,0,2,0,0,3,1,0.75,0,1,0,0,2,50%,54,57,48,4,1,0,4,4.5,5.6,5.1,79,2,2,0,0,89,garcibr01
122,Luis Garcia,25,HOU,157.1,28,28,15,8,5,11,3,19,9,0.679,1,0,0,0,10,36%,54.9,74,37,9,4,0,22,5.3,5.1,5.6,88,3,23,2,0,108,garcilu05
123,Rony García,24,DET,51,16,8,3,3,2,2,0,4,4,0.5,0,1,0,0,1,13%,48.8,59,35,4,2,0,5,4.7,5.3,4.6,79,4,4,0,0,92,garciro03
124,Braxton Garrett*,24,MIA,88,17,17,3,7,7,1,0,8,9,0.471,2,2,0,0,5,29%,52.5,77,34,10,2,0,10,3.4,2.8,5.2,84,5,10,2,0,104,garrebr01
125,Kevin Gausman,31,TOR,174.2,31,31,12,10,9,3,3,18,13,0.581,3,5,0,0,17,55%,55,89,21,14,5,0,16,4.8,4.8,5.6,90,3,20,8,0,110,gausmke01
126,Domingo Germán,29,NYY,72.1,15,14,2,5,7,1,1,6,8,0.429,2,3,0,0,5,36%,52.3,78,28,9,1,1,6,3.9,2.7,5,75,7,7,0,0,90,germado01
