Rk,Name,Age,Tm,IP,G,GS,Wgs,Lgs,ND,Wchp,Ltuf,Wtm,Ltm,tmW-L%,Wlst,Lsv,CG,SHO,QS,QS%,GmScA,Best,Wrst,BQR,BQS,sDR,lDR,RS/GS,RS/IP,IP/GS,Pit/GS,<80,80-99,100-119,≥120,Max,Name-additional
1,Andrew Abbott*,24,CIN,109.1,21,21,8,6,7,3,1,14,7,0.667,1,2,0,0,9,43%,53.1,84,25,10,0,0,10,4.3,4.1,5.2,90,4,10,7,0,113,abbotan01
2,Joan Adon,24,WSN,51.2,12,10,2,4,4,0,0,5,5,0.5,0,2,0,0,2,20%,42.6,69,27,7,3,0,10,4.5,3.5,4.7,84,2,8,0,0,94,adonjo01
3,Keegan Akin*,28,BAL,23.2,24,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0%,46,46,46,12,8,1,0,8,0,1,25,1,0,0,0,25,akinke01
4,Sandy Alcantara,27,MIA,184.2,28,28,7,12,9,0,2,11,17,0.393,4,2,3,1,13,46%,53.1,85,9,18,5,0,17,3.9,3.8,6.6,97,1,16,11,0,116,alcansa01
5,Scott Alexander*,33,SFG,48.1,55,8,0,3,5,0,0,3,5,0.375,0,0,0,0,0,0%,47.1,56,32,20,12,7,0,2.9,1.1,0.8,14,8,0,0,0,19,alexasc02
6,Tyler Alexander*,28,DET,44,25,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0%,56,56,56,4,3,0,1,0,0,3,45,1,0,0,0,45,alexaty01
7,Kolby Allard*,25,ATL,12.1,4,3,0,1,2,0,0,1,2,0.333,1,0,0,0,0,0%,46.3,65,25,4,0,0,3,3,4.9,3.8,60,3,0,0,0,73,allarko01
8,Logan Allen*,24,CLE,125.1,24,24,7,8,9,2,2,14,10,0.583,2,3,0,0,7,29%,51.5,79,26,8,0,0,18,4.8,4.3,5.2,89,4,17,3,0,104,allenlo02
9,Chase Anderson,35,TOT,86.1,19,17,1,6,10,1,1,8,9,0.471,4,3,0,0,4,24%,,75,1,13,9,0,12,4.4,3.6,4.8,81,5,11,1,0,101,anderch01
10,Chase Anderson,35,COL,81.1,17,17,1,6,10,1,1,8,9,0.471,4,3,0,0,4,24%,45.2,75,1,13,9,0,12,4.4,3.6,4.8,81,5,11,1,0,101,anderch01
11,Tyler Anderson*,33,LAA,141,27,25,6,5,14,3,1,12,13,0.48,4,6,0,0,7,28%,46,69,20,15,10,0,24,5.3,4.9,5.3,91,2,17,6,0,109,anderty01
12,Tejay Antone,29,CIN,5.2,5,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0%,59,59,59,1,0,1,0,6.8,9,2,26,1,0,0,0,26,antonte01
13,Shawn Armstrong,32,TBR,52,39,6,0,0,6,0,0,5,1,0.833,0,0,0,0,0,0%,54.7,58,51,6,1,5,1,4.1,0.8,2,31,6,0,0,0,44,armstsh01
14,Graham Ashcraft,25,CIN,145.2,26,26,7,9,10,1,2,11,15,0.423,2,3,0,0,15,58%,49.1,73,2,17,7,0,12,4.5,4.3,5.6,89,4,17,5,0,110,ashcrgr01
15,Javier Assad,25,CHC,109.1,32,10,3,1,6,1,0,6,4,0.6,2,2,0,0,4,40%,54.5,74,34,13,4,0,5,6,5.2,5.4,85,2,8,0,0,98,assadja01
16,Pedro Avila,26,SDP,50.1,14,6,1,2,3,0,0,4,2,0.667,0,1,0,0,1,17%,45.5,68,17,6,4,0,3,5.7,3.8,4.3,82,3,3,0,0,91,avilape01
17,Tanner Banks*,31,CHW,61,32,3,0,2,1,0,0,1,2,0.333,0,1,0,0,0,0%,43.3,50,38,4,1,1,1,3.5,1,3.4,64,3,0,0,0,66,banksta01
18,Matt Barnes,33,MIA,21.1,24,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0%,51,51,51,9,5,1,0,2,9,1,24,1,0,0,0,24,barnema01
19,Jaime Barria,26,LAA,82.1,34,6,1,2,3,1,0,4,2,0.667,1,2,0,0,0,0%,48.2,69,23,2,0,1,3,6.1,4.2,4.6,78,3,3,0,0,93,barrija01
20,Chris Bassitt,34,TOR,200,33,33,16,8,9,0,2,20,13,0.606,2,5,1,1,21,64%,55.2,89,4,12,1,0,18,4.7,4.6,6.1,95,4,16,13,0,113,bassich01
21,Peyton Battenfield,25,CLE,34.2,7,6,0,5,1,0,2,0,6,0,0,0,0,0,2,33%,49.2,72,26,4,0,0,4,1,1.1,5.4,84,2,4,0,0,97,battepe01
22,Tristan Beck,27,SFG,85,33,3,0,1,2,0,0,2,1,0.667,0,0,0,0,0,0%,39.3,53,16,7,2,1,1,4.7,3,4,63,3,0,0,0,70,becktr01
23,Jalen Beeks*,29,TBR,42.1,30,8,0,1,7,0,0,3,5,0.375,0,1,0,0,0,0%,51.5,56,42,11,7,4,2,3.7,2.2,2,32,8,0,0,0,41,beeksja02
24,Brayan Bello,24,BOS,157,28,28,12,11,5,4,4,17,11,0.607,2,2,0,0,15,54%,50.5,73,9,10,2,0,21,5.6,5,5.6,93,2,17,9,0,107,bellobr01
25,Brennan Bernardino*,31,BOS,50.2,55,6,0,0,6,0,0,3,3,0.5,0,0,0,0,0,0%,52.8,56,48,23,6,6,0,4.3,4,1.5,25,6,0,0,0,31,bernabr01
